,metric,min_val,max_val,mean_val,std_val,quantile_1,quantile_5,quantile_10,quantile_25,quantile_50,quantile_75,quantile_90,quantile_95,quantile_99
31,topiq_nr_normalized,-5.270903167864282,3.3428738215214193,1.0550235125049056e-16,0.9999999999999998,-2.7012152919244854,-1.7736574619818593,-1.3148899527964348,-0.6135436601978208,0.08131008343453192,0.6970123863922342,1.2113183268673753,1.5052298351182263,2.0109545115729572
32,topiq_nr-spaq_normalized,-5.686818873151284,2.777774137308991,-3.902398664417132e-16,1.0000000000000002,-2.817564452161025,-1.8001995816042697,-1.3215007365108697,-0.6034652384946998,0.10711810530685409,0.7246206722159182,1.1910636530021237,1.4330651241082557,1.8209441098335013
33,maniqa_normalized,-4.248820118248884,4.460333031077179,1.8630647199247074e-16,0.9999999999999999,-2.4589733181307936,-1.6523424774164117,-1.2698744601109442,-0.6740274737657792,0.0009558667083425479,0.7136340832407965,1.3004129184799542,1.6059305135498465,2.1193378591632612
34,clipiqa+_normalized,-5.690422470270184,2.9691458538217637,-5.700765316897509e-16,0.9999999999999998,-2.8964668169986525,-1.8117785940256994,-1.304049194260021,-0.5790441237959063,0.10252058659761154,0.7045888021512712,1.1833876504702614,1.4408322847868626,1.8681326292746712
35,musiq-paq2piq_normalized,-9.216708682863747,2.232576394246145,-1.0921209833766133e-15,1.0000000000000009,-3.742047351431889,-1.9028778590310975,-1.224166669327441,-0.35223405853979384,0.24872487954321593,0.6404496164554191,0.91928835046701,1.0693845699504128,1.3360073372978438
36,arniqa_normalized,-8.933447260214946,4.28050280622327,3.3538588136816393e-16,1.0,-3.317391620241059,-1.8589093211865761,-1.271099911489081,-0.487993746910166,0.17980330807659614,0.6853405709494869,1.0599938279564087,1.2627652835333671,1.6206119049064058
37,arniqa-kadid_normalized,-5.895653228591716,2.965026497776008,3.2263454267873897e-17,0.9999999999999998,-2.767843692994444,-2.021199960265766,-1.4917415292676324,-0.5348973946168039,0.19723052291975496,0.7216466997946424,1.102685109213921,1.3055474473561708,1.646138044115525
38,topiq_iaa_normalized,-4.468897648491389,4.348092837490826,6.651235187530926e-17,0.9999999999999998,-2.4073463569430373,-1.668504939428111,-1.2931442737291714,-0.6663274615264895,0.014427108312759122,0.7014948844466055,1.257225832692633,1.5894554425097818,2.239733751801823
39,dbcnn_normalized,-4.747083522103248,2.898238556422456,5.31458191658921e-16,1.0000000000000007,-2.7074684169176684,-1.8418586001781718,-1.3658562979810422,-0.6120618393799594,0.11456180553168424,0.7179231222647025,1.1940164780034035,1.4546379578280326,1.8832800102673317
40,laion_aes_normalized,-4.968213127834617,4.870799431786742,2.1230306507894556e-16,1.0,-2.37405163324759,-1.6998408765203143,-1.322740328926195,-0.6715788495192174,0.041244791432361094,0.6879634553970295,1.2452477331451572,1.58751799719765,2.246199367337039
41,liqe_mix_normalized,-3.356492869994788,1.143861987870184,-2.017132188921959e-16,0.9999999999999998,-2.909100285376736,-1.869151810538691,-1.394187901586919,-0.6474231406818137,0.13424309186744132,0.9373866836922999,1.1138974285803387,1.13473594933181,1.1428533872316344
42,liqe_normalized,-2.8489986076096474,1.1004088351273367,1.0995615056454378e-16,0.9999999999999997,-2.763906304921984,-1.896546356572799,-1.4216293899228933,-0.67669783725731,0.19349206420313744,0.9297527294055795,1.0754946037151238,1.092483719715534,1.0994528448346303
43,maniqa-pipal_normalized,-7.510471403697336,3.954340184600174,-3.723782117674564e-16,1.0000000000000002,-3.1051819129885434,-1.8634676891295359,-1.3087559681787817,-0.5195904074237616,0.15843244273635482,0.6861301495771396,1.0912626063939823,1.324219252079225,1.7772771597066577
44,nima-vgg16-ava_normalized,-5.336227113359406,5.547359834785727,-5.238196140815934e-16,1.0000000000000002,-2.3867653805195412,-1.6444498351350667,-1.2692455102426103,-0.660362914121708,0.00266444670573104,0.6656097976848225,1.2702362871331807,1.6381043881014759,2.341514061603537
45,hyperiqa_normalized,-4.57779203396006,3.185703687642275,5.298052856274634e-16,0.9999999999999997,-2.7217441517358925,-1.8493139407592527,-1.3724274186624206,-0.6172864749009241,0.1216433643278824,0.7340963822654105,1.1871866853086597,1.4263455519157366,1.8229812234428124
46,tres-flive_normalized,-25.53515192260537,8.88368933622122,-2.686119008754494e-16,0.9999999999999998,-3.107277438549827,-1.9505443446834247,-1.3591770913097088,-0.44082346305304965,0.23381880572817787,0.6608379833584109,0.9742864854541228,1.162091806725646,1.5988163088788283
47,arniqa-flive_normalized,-20.846035174188714,6.166159206468846,1.2012347875982027e-15,0.9999999999999996,-3.379862636531853,-1.776069914369459,-1.201688849289051,-0.44852009203281423,0.17177604368795224,0.6454778301601889,1.0182645218236361,1.2365375517883974,1.6688981865443984
48,musiq_normalized,-6.719096086101467,1.5564843988884025,-8.194306102223602e-16,0.9999999999999994,-3.4841504427172394,-1.8898233703780434,-1.2843168762163453,-0.4595096687683016,0.22625457784301808,0.712147137986386,1.0154236494700064,1.1450963841335344,1.309328762660843
49,musiq-ava_normalized,-5.23270882453132,4.76011454540081,-4.614737590666446e-16,1.0000000000000009,-2.388471617169414,-1.6083106441094388,-1.2408700019562102,-0.6589839175294556,-0.01662165333682221,0.6512877705585614,1.283973661781214,1.67047047589583,2.398218195507348
52,cnniqa_normalized,-21.37780659017864,3.9578810008370633,3.9282436596131477e-16,0.9999999999999996,-2.9749772546573667,-1.9692327591743661,-1.449036164019395,-0.5408058416852931,0.29514203108442466,0.7269300237181774,1.0122956886933916,1.1505483104713252,1.3470013368950304

